path,match_count,assessment,register_ids,notes
src/config/raft-adaptive-timing-controller.js,11,helper_or_default_only,,"Profile and default read fallback only."
src/constants/transport.js,2,doc_or_comment_only,,"Log message constants only."
src/control-plane/active-node-projection.js,21,register_degrade_mode,"FB-CP-007","Liveness-based recovery projection."
src/control-plane/authoritative-control-plane-view.js,22,register_boundary,"FB-CDC-001; FB-CP-005","Owner-controlled authoritative read surface."
src/control-plane/authoritative-node-evidence-reconciler.js,2,helper_or_default_only,,"Positive-integer default helper only."
src/control-plane/control-plane-error-classification.js,2,degradation_term_only,,"Pressure degraded classification only."
src/control-plane/control-plane-kernel-ingress.js,4,register_degrade_mode,"FB-TR-001","Replica fallback address inside ingress owner."
src/control-plane/control-plane-mutation-readiness.js,1,degradation_term_only,,"Metadata publication degraded reason map only."
src/control-plane/control-plane-publication-merge.js,12,helper_or_default_only,,"Field precedence and row merge fallback helpers only."
src/control-plane/control-plane-readiness-constants.js,1,degradation_term_only,,"Readiness degraded reason constant only."
src/control-plane/control-plane-readiness-service.js,6,register_violation,"FB-CP-001; FB-CP-002; FB-CP-004","Planning snapshot caller fallout and async repair boundary."
src/control-plane/control-plane-system-table-gateway.js,42,register_violation,"FB-CP-005; FB-CP-006","Canonical read ingress plus startup SQL bridge."
src/control-plane/heartbeat-service.js,3,helper_or_default_only,,"Publication diagnostics fallback path helper only."
src/control-plane/membership-lifecycle-constants.js,2,register_degrade_mode,"FB-CP-007","Recovery protocol fallback reason constants."
src/control-plane/membership-lifecycle-controller.js,4,helper_or_default_only,,"String and timestamp default helpers only."
src/control-plane/membership-publication-coordinator.js,10,register_violation,"FB-CP-003; FB-CP-007","Publication ack fallback and liveness projection support."
src/control-plane/owners/system-metadata-owner-base.js,2,helper_or_default_only,,"Fallback error message helper only."
src/control-plane/phase-exit-constants.js,1,doc_or_comment_only,,"Comment names old fallback paths only."
src/control-plane/pressure-governor.js,6,degradation_term_only,,"Pressure degrade action terminology only."
src/control-plane/priority-recovery-diagnostics-constants.js,4,helper_or_default_only,,"Unknown invariant and blocker fallback constants only."
src/control-plane/read-model-contract.js,2,single_path_guard_only,,"Contract forbids mixed cache and SQL fallback."
src/control-plane/recovery-protocol-snapshot.js,10,register_degrade_mode,"FB-CP-007","Shared recovery-protocol fallback owner."
src/control-plane/replica-dispatch-service.js,4,register_violation,"FB-CP-003","Dispatch-local readiness and publication fallback."
src/control-plane/system-row-normalizers.js,3,helper_or_default_only,,"JSON fallback reader only."
src/control-plane/timeout-budget.js,2,helper_or_default_only,,"Positive integer default helper only."
src/debug-runtime/debug-coordinator.js,3,helper_or_default_only,,"Timestamp default helper only."
src/debug-runtime/debug-metadata-service.js,7,helper_or_default_only,,"JSON parse and limit defaults only."
src/debug-runtime/vscode-dwarf-parser-backend.js,4,helper_or_default_only,,"Fallback WASM value stub only."
src/debug/debug-emitter.js,10,helper_or_default_only,,"Debug metadata fallback field helper only."
src/diagnostics/resource-diagnostics-sampler.js,2,helper_or_default_only,,"Positive integer default helper only."
src/function/cdc-subscription-manager.js,1,helper_or_default_only,,"Predicate compile fallback only."
src/function/function-constants.js,1,helper_or_default_only,,"Executor name fallback constant only."
src/function/function-query-executor.js,1,helper_or_default_only,,"Batch execution fallback only."
src/function/function-registry.js,1,helper_or_default_only,,"Executor name default only."
src/index.js,1,doc_or_comment_only,,"Readiness degradation comment only."
src/live-query/live-query-constants.js,1,helper_or_default_only,,"Primary-key fallback constant only."
src/live-query/live-query-manager.js,3,helper_or_default_only,,"Primary-key and version defaults only."
src/live-query/live-query-service.js,2,helper_or_default_only,,"Primary-key fallback only."
src/logging/logging-service.js,6,helper_or_default_only,,"Log level and console fallback helpers only."
src/logging/logs-table-service.js,3,degradation_term_only,,"Pressure degraded handling only."
src/message-group/cdc-handler.js,2,helper_or_default_only,,"Primary-key fallback helper only."
src/message-group/message-group-forwarding-owner.js,6,register_bridge,"FB-MG-001","Bootstrap hint and service-id fallback remain."
src/message-group/message-group-service.js,7,register_bridge,"FB-MG-001","Bootstrap peer hint bridge."
src/migration/migration-coordinator.js,5,helper_or_default_only,,"JSON and integer default helpers only."
src/migration/migration-recovery-trigger.js,1,degradation_term_only,,"Pressure degrade option only."
src/node/node-readiness-policy.js,1,helper_or_default_only,,"Timestamp fallback docstring only."
src/node/replica-handler.js,2,doc_or_comment_only,,"Legacy test compatibility fallback comment only."
src/partition/cdc-event-buffer.js,3,helper_or_default_only,,"Primary-key fallback helpers only."
src/partition/managed-split-retry-policy.js,2,degradation_term_only,,"Degraded reason matching only."
src/partition/managed-split-workflow.js,15,register_degrade_mode,"FB-PT-001","Split admission still widens to source-routable targets."
src/partition/partition-cdc-delivery.js,2,helper_or_default_only,,"Subscriber id fallback only."
src/partition/partition-cdc-generator.js,4,helper_or_default_only,,"Fallback insert row helper only."
src/partition/partition-service.js,8,register_violation,"FB-PT-002","Local leader-election bridge when raft owner is missing."
src/partition/partition-split-merge-manager.js,5,helper_or_default_only,,"Numeric config default helpers only."
src/policy/raft-role-tracker.js,1,single_path_guard_only,,"Comment states no SQL fallback path."
src/query/callback/callback-execution-host.js,3,single_path_guard_only,,"Driver selection explicitly forbids fallback handler paths."
src/query/callback/callback-runtime-driver-registry.js,3,single_path_guard_only,,"Registry explicitly forbids fallback drivers."
src/query/callback/partition-callback-dispatcher.js,1,helper_or_default_only,,"Logger fallback to console only."
src/query/distributed/parallel-query-coordinator.js,1,helper_or_default_only,,"Estimate fallback only."
src/query/distributed/straggler-detector.js,1,helper_or_default_only,,"Logger fallback docstring only."
src/query/index.js,1,single_path_guard_only,,"Exports fallback-rejection guard only."
src/query/partition-resolver.js,2,helper_or_default_only,,"Parameter index fallback only."
src/query/pg/pg-translate.js,4,helper_or_default_only,,"Type and action default helpers only."
src/query/pg/postgres-wire-adapter.js,1,degradation_term_only,,"Client capability degrade text only."
src/query/query-constants.js,2,helper_or_default_only,,"Target-node fallback log constant only."
src/query/query-executor.js,4,register_bridge,"FB-CP-008","Bootstrap leader bridge while owner row converges."
src/query/query-router.js,1,register_bridge,"FB-CP-008","Owner-row leader identity bridge."
src/query/sql-adapter-constants.js,3,single_path_guard_only,,"Constants explicitly reject fallback execution paths."
src/query/sql-execution-guard.js,7,single_path_guard_only,,"Guard rejects second SQL execution path."
src/query/sql-query-engine.js,52,register_degrade_mode,"FB-QR-001; FB-CDC-002","Provisioning degraded target fallback and repair-lane usage."
src/query/strategy-selector.js,1,helper_or_default_only,,"Emit and shuffle fallback heuristic only."
src/query/table-creation-service.js,2,register_boundary,"FB-CP-005","Authoritative control-plane read caller."
src/raft/raft-group.js,1,helper_or_default_only,,"Fallback replica index constant only."
src/raft/raft-transport-adapter.js,1,helper_or_default_only,,"Destination address fallback only."
src/raft/spike/raft-logic-spike-adapter.js,2,helper_or_default_only,,"JSON parse fallback only."
src/raft/sqlite-log-adapter.js,9,helper_or_default_only,,"Entry normalization fallback helpers only."
src/rebalancer/move-planner.js,38,register_bridge,"FB-RB-007","Critical-partition classifier fallback."
src/rebalancer/operation-workflow-owner.js,17,register_violation,"FB-CP-001; FB-RB-002; FB-RB-005; FB-RB-006","Workflow still carries several read-model and compatibility fallbacks."
src/rebalancer/provisioning-admission-policy.js,1,degradation_term_only,,"Readiness degraded comment only."
src/rebalancer/rebalance-coordinator.js,22,register_violation,"FB-CP-002; FB-RB-001; FB-RB-003; FB-RB-004","Coordinator still consumes repository fallback knobs and legacy owner bridge."
src/rebalancer/rebalancer-constants.js,5,degradation_term_only,,"Degraded placement reason constants only."
src/rebalancer/replica-operation-repository.js,32,register_violation,"FB-RB-001; FB-RB-002","Repository exposes caller-tunable degraded-read policy."
src/rebalancer/storage-admission-constants.js,1,degradation_term_only,,"Degraded reason constant only."
src/rebalancer/storage-admission-service.js,11,degradation_term_only,,"Readiness degraded reason handling only."
src/rebalancer/storage-capacity-accounting-service.js,4,helper_or_default_only,,"Capacity fallback helpers only."
src/rebalancer/unified-rebalancer.js,20,register_degrade_mode,"FB-QR-001","Priority fallback replica count and degraded target path."
src/runtime/control-plane-rollout-controls.js,5,helper_or_default_only,,"Rollout fallback helpers only."
src/runtime/endpoint-sync-config.js,9,helper_or_default_only,,"Environment default parsers only."
src/runtime/endpoint-sync-constants.js,2,helper_or_default_only,,"Fallback constants only."
src/runtime/endpoint-sync-leader-election.js,8,helper_or_default_only,,"Lease and holder identity defaults only."
src/runtime/endpoint-sync-naming.js,3,helper_or_default_only,,"Name fallback helpers only."
src/runtime/oci-container-driver.js,1,helper_or_default_only,,"Default fallback behavior only."
src/runtime/pgwire-cutover-guard.js,1,doc_or_comment_only,,"Commentary about fallback only."
src/runtime/runtime-driver-errors.js,2,helper_or_default_only,,"Fallback error helpers only."
src/runtime/runtime-driver-registry.js,6,helper_or_default_only,,"Registry fallback helpers only."
src/runtime/service-discovery-catalog.js,2,degradation_term_only,,"Service discovery degraded state only."
src/topology/cdc-group-propagation-constants.js,2,helper_or_default_only,,"Safe fallback constant set only."
src/topology/cdc-group-propagation-service.js,51,register_degrade_mode,"FB-TP-001","Grouped delivery safe-fanout fallback."
src/topology/latency-group-manager.js,8,helper_or_default_only,,"Numeric default helpers only."
src/topology/latency-measurement-service.js,8,helper_or_default_only,,"Numeric default helpers only."
src/transport/message-router.js,16,register_degrade_mode,"FB-TR-001; FB-TR-002","Owner-contained remote-path and reconnect ladders."
src/transport/node-address-resolution.js,6,register_degrade_mode,"FB-TR-002","Address selection fallback inside transport."
src/transport/router-delivery-manager.js,2,register_degrade_mode,"FB-TR-001","Transport registry delivery fallback."
src/wasm-service/meta-write-executor.js,1,helper_or_default_only,,"Default fallback helper only."
src/wasm-service/module-manifest-models.js,1,helper_or_default_only,,"Default fallback helper only."
src/wasm-service/registry-resolver.js,1,helper_or_default_only,,"Resolver fallback helper only."
src/worker/replica-worker-manager.js,2,helper_or_default_only,,"Worker fallback helpers only."
src/workflow/operation-lane.js,4,helper_or_default_only,,"Operation lane fallback helpers only."
src/workflow/timeout-policy.js,2,helper_or_default_only,,"Timeout fallback helpers only."
